"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","setUp","Default Suite","Thu Dec 26 14:12:24 EET 2024","broken","Thu Dec 26 14:12:24 EET 2024","LoginTests","seleniumSimpleTest","LoginTests","setUp"
"","64952","searchProductTest","TestingSuite","Thu Dec 26 11:58:05 EET 2024","passed","Thu Dec 26 11:59:10 EET 2024","ShoppingListTest","ShoppingListTest","ShoppingListTest","searchProductTest"
"","7","setUp","TestingSuite","Thu Dec 26 12:39:37 EET 2024","broken","Thu Dec 26 12:39:37 EET 2024","LoginTests","LoginTest","LoginTests","setUp"
"","55369","searchProductContainsParameterTest","TestingSuite","Thu Dec 26 11:57:06 EET 2024","passed","Thu Dec 26 11:58:01 EET 2024","SearchResultTest","SearchResultTest","SearchResultTest","searchProductContainsParameterTest"
"","0","setUp","TestingSuite","Thu Dec 26 12:39:37 EET 2024","broken","Thu Dec 26 12:39:37 EET 2024","ShoppingListTest","ShoppingListTest","ShoppingListTest","setUp"
"","5","setUp","Default Suite","Thu Dec 26 14:11:45 EET 2024","broken","Thu Dec 26 14:11:45 EET 2024","LoginTests","seleniumSimpleTest","LoginTests","setUp"
"","5","userAuthorizationTest","Default Suite","Thu Dec 26 14:12:25 EET 2024","skipped","Thu Dec 26 14:12:25 EET 2024","LoginTests","seleniumSimpleTest","LoginTests","userAuthorizationTest"
"","24251","searchProductContainsParameterTest","TestingSuite","Thu Dec 26 17:05:44 EET 2024","passed","Thu Dec 26 17:06:08 EET 2024","SearchResultTest","SearchResultTest","SearchResultTest","searchProductContainsParameterTest"
"","36730","searchProductTest","TestingSuite","Thu Dec 26 17:06:13 EET 2024","passed","Thu Dec 26 17:06:50 EET 2024","ShoppingListTest","ShoppingListTest","ShoppingListTest","searchProductTest"
"","5","userAuthorizationTest","Default Suite","Thu Dec 26 14:11:45 EET 2024","skipped","Thu Dec 26 14:11:45 EET 2024","LoginTests","seleniumSimpleTest","LoginTests","userAuthorizationTest"
"","17908","userAuthorizationTest","Default Suite","Thu Dec 26 18:56:26 EET 2024","broken","Thu Dec 26 18:56:44 EET 2024","LoginTests","seleniumSimpleTest","LoginTests","userAuthorizationTest"
"","1","setUp","TestingSuite","Thu Dec 26 12:39:37 EET 2024","broken","Thu Dec 26 12:39:37 EET 2024","SearchResultTest","SearchResultTest","SearchResultTest","setUp"
